accession	has_titers	log10_293-SA23_over_293-noSA_titer	log10_293-SA26_over_293-noSA_titer	log10_293-noSA-human-MHCII-0301_over_293-noSA_titer	log10_293-noSA-human-MHCII-1503_over_293-noSA_titer	log10_293-noSA-tufted-duck-MHCII_over_293-noSA_titer	log10_293-SA26_over_293-SA23_titer	log10_293-noSA_over_293-SA23_titer	log10_293-noSA-human-MHCII-0301_over_293-SA23_titer	log10_293-noSA-human-MHCII-1503_over_293-SA23_titer	log10_293-noSA-tufted-duck-MHCII_over_293-SA23_titer	log10_293-SA23_over_293-SA26_titer	log10_293-noSA_over_293-SA26_titer	log10_293-noSA-human-MHCII-0301_over_293-SA26_titer	log10_293-noSA-human-MHCII-1503_over_293-SA26_titer	log10_293-noSA-tufted-duck-MHCII_over_293-SA26_titer
CY020541.1	yes	0.73	1.51	1.76	2.07	1.77	0.79	-0.73	1.03	1.34	1.04	-0.79	-1.51	0.24	0.55	0.26
CY021013.1	yes	2.03	2.72	3.94	4.11	4.29	0.69	-2.03	1.91	2.08	2.26	-0.69	-2.72	1.22	1.4	1.58
CY014976.1	yes	1.7	2.05	3.38	3.72	3.78	0.36	-1.7	1.68	2.03	2.08	-0.36	-2.05	1.32	1.67	1.72
CY003907.1	yes	1.62	0.43	2.26	2.4	3.6	-1.19	-1.62	0.63	0.78	1.98	1.19	-0.43	1.82	1.97	3.17
CY117381.1	yes	0.44	0.34	1.81	2.63	4.2	-0.1	-0.44	1.37	2.19	3.76	0.1	-0.34	1.47	2.29	3.86
CY003847.1	yes	0.94	0.46	1.55	2.52	3.26	-0.48	-0.94	0.61	1.58	2.33	0.48	-0.46	1.09	2.06	2.8
KC899733.1	yes	0.23	0.2	1.68	2.57	2.97	-0.03	-0.23	1.45	2.35	2.74	0.03	-0.2	1.48	2.37	2.77
