strain,has_titers,log10_293-noSA_over_293-SA23_titer,log10_293-noSA-human-MHCII-0301_over_293-SA23_titer,log10_293-noSA-human-MHCII-1503_over_293-SA23_titer,log10_293-noSA-tufted-duck-MHCII_over_293-SA23_titer,log10_293-SA23_over_293-noSA_titer,log10_293-noSA-human-MHCII-0301_over_293-noSA_titer,log10_293-noSA-human-MHCII-1503_over_293-noSA_titer,log10_293-noSA-tufted-duck-MHCII_over_293-noSA_titer
A/American_Wigeon/South_Carolina/22-000345-001/2021,yes,-2.24,-0.15,0.27,0.61,2.24,2.09,2.51,2.85
A/Anhui/1/2005,yes,-2.23,-0.79,-0.53,1.14,2.23,1.44,1.70,3.36
A/Astrakhan/3212/2020,yes,-2.23,-0.10,0.28,0.50,2.23,2.13,2.51,2.73
A/Cambodia/2302009/2023,yes,-1.31,-0.81,-1.21,-1.19,1.31,0.51,0.10,0.12
A/Cambodia/R0405050/2007,yes,-2.06,-0.98,-0.36,0.63,2.06,1.09,1.70,2.69
A/Cambodia/X0810301/2013,yes,-0.08,0.23,1.34,2.64,0.08,0.32,1.42,2.72
A/Chicken/Indonesia/Wates130/2005,yes,-1.60,-0.10,-0.12,1.97,1.60,1.50,1.48,3.57
A/Chicken/Netherlands/18000887-005/2018,yes,-1.93,0.58,1.02,1.31,1.93,2.52,2.96,3.24
A/Ck/HK/61.9/02,yes,-1.37,-0.09,0.62,1.00,1.37,1.28,1.98,2.37
A/Egypt/2321-NAMRU3/2007,yes,-1.83,0.56,0.90,1.05,1.83,2.40,2.74,2.88
A/Egypt/3300-NAMRU3/2008,yes,-1.92,-0.78,-1.73,-1.59,1.92,1.14,0.18,0.32
A/Egypt/N03072/2010,yes,-1.54,-0.01,0.77,0.74,1.54,1.53,2.31,2.27
A/Egypt/N04915/2014,yes,-1.52,-0.77,0.15,0.07,1.52,0.75,1.67,1.59
A/Ezo_red_fox/Hokkaido/1/2022,yes,-1.94,-0.06,0.36,0.74,1.94,1.89,2.31,2.68
A/Fujian-Sanyuan/21099/2017,yes,-2.03,0.12,0.56,0.69,2.03,2.15,2.60,2.72
A/Fujian/2/2024,yes,-1.93,-1.08,-0.79,1.05,1.93,0.85,1.13,2.98
A/Goose/Guangdong/1/96,yes,-1.63,1.69,1.82,2.08,1.63,3.31,3.45,3.71
A/Guangdong/18SF020/2018,yes,-1.86,-0.26,0.17,0.42,1.86,1.60,2.03,2.28
A/Guizhou/1/2013,yes,-0.73,-0.67,-0.67,2.03,0.73,0.06,0.07,2.76
A/Hong_Kong/483/1997,yes,-1.84,-1.36,-0.80,2.24,1.84,0.48,1.05,4.09
A/Hubei/1/2010,yes,-1.89,-0.61,0.24,0.68,1.89,1.27,2.13,2.57
A/Hubei/29578/2016,yes,-1.95,0.09,0.34,0.43,1.95,2.05,2.29,2.39
A/Indonesia/5/2005,yes,-1.49,0.08,0.06,1.89,1.49,1.57,1.55,3.39
A/Indonesia/NIHRD11771/2011,yes,-1.73,-0.25,0.02,1.24,1.73,1.47,1.74,2.97
A/Japanese_white-eye/Hong_Kong/1038/2006,yes,-1.73,-0.23,0.27,0.97,1.73,1.51,2.00,2.70
A/Jiangsu/NJ210/2023,yes,-2.39,-0.39,0.20,0.64,2.39,1.99,2.59,3.02
A/Ohio/06-1/2025,yes,-2.09,0.18,0.64,1.04,2.09,2.27,2.73,3.13
A/Sichuan/26221/2014,yes,-1.97,0.24,0.58,0.78,1.97,2.21,2.55,2.75
A/Victoria/149/2024,yes,-1.63,-0.81,0.62,1.83,1.63,0.83,2.26,3.46
A/Vietnam/1194/2004,yes,-1.67,-0.57,0.27,1.18,1.67,1.09,1.94,2.85
A/Vietnam/1203/2004,yes,-1.88,-0.85,-0.22,0.74,1.88,1.02,1.65,2.61
A/bar_headed_goose/Qinghai/*/2005,yes,-1.47,-0.53,-0.69,0.73,1.47,0.93,0.78,2.20
A/barn_swallow/Hong_Kong/1161/2010,yes,-2.01,-1.10,-1.72,-1.87,2.01,0.90,0.29,0.13
A/bovine/Texas/43134/2024,yes,-2.14,-0.08,0.53,1.13,2.14,2.06,2.67,3.27
A/chicken/Bangladesh/11rs1984-30/2011,yes,-2.16,-1.17,-1.39,1.02,2.16,0.99,0.77,3.18
A/chicken/Central_Java/UT3091/2005,yes,-1.81,-0.30,-0.28,1.77,1.81,1.51,1.54,3.58
A/chicken/Egypt/B13826C/2017,yes,-1.88,-0.98,0.24,0.23,1.88,0.89,2.12,2.11
A/chicken/Egypt/Q1995D/2010,yes,-1.90,-0.96,-1.69,-2.13,1.90,0.94,0.21,-0.23
A/chicken/Egypt/Q7630D/2013,yes,-1.82,-0.97,-1.36,-1.01,1.82,0.85,0.46,0.80
A/chicken/Ghana/20/2015,yes,-2.22,-1.25,-2.19,-2.43,2.22,0.97,0.04,-0.20
A/chicken/Ghana/AVL-763_21VIR7050-39/2021,yes,-2.10,-0.50,0.37,1.01,2.10,1.60,2.47,3.11
A/chicken/Guizhou/1153/2016,yes,-2.21,-1.19,-1.33,0.48,2.21,1.02,0.88,2.69
A/chicken/India/NIV33487/06,yes,-1.68,-0.91,-0.95,0.20,1.68,0.78,0.73,1.89
A/chicken/Khanhhoa/CVVI-28/2014,yes,-1.90,-1.13,-1.98,-1.81,1.90,0.77,-0.08,0.09
A/chicken/Nigeria/16VIR5840-51/2015,yes,-2.44,-1.03,-2.35,-2.33,2.44,1.40,0.09,0.11
A/chicken/Scotland/054477/2021,yes,-2.47,-0.18,0.18,0.53,2.47,2.29,2.65,3.00
A/chicken/Shanxi/2/2006,yes,-0.83,-0.47,0.15,2.89,0.83,0.36,0.98,3.73
A/chicken/Viet_Nam/Ncvd8/2003,yes,-1.64,0.10,0.58,0.80,1.64,1.74,2.22,2.43
A/chicken/Vietnam/NCVD-016/2008,yes,-0.11,-0.22,-0.21,2.74,0.11,-0.12,-0.11,2.85
A/chicken/Vietnam/NCVD-03/2008,yes,-1.18,-0.43,-0.19,1.66,1.18,0.74,0.99,2.84
A/chicken/Vietnam/NCVD-15A59/2015,yes,-1.80,0.56,0.68,0.81,1.80,2.36,2.49,2.61
A/chicken/Vietnam/Raho4-Cd-20-421/2020,yes,-2.42,-0.00,0.35,0.50,2.42,2.42,2.77,2.93
A/common_magpie/Hong_Kong/5052/2007,yes,-1.59,-0.85,-1.58,0.95,1.59,0.74,0.01,2.55
A/crow/Osaka/102/2004,yes,-1.32,0.78,1.27,1.62,1.32,2.10,2.59,2.94
A/dairy cow/California/022470-005/2025,yes,-1.53,-0.79,-0.68,0.76,1.53,0.75,0.85,2.29
A/duck/Bangladesh/17D1012/2018,yes,-2.12,-1.05,-1.70,0.53,2.12,1.07,0.42,2.65
A/duck/Bangladesh/19097/2013,yes,-2.14,-1.04,-1.89,0.75,2.14,1.10,0.25,2.89
A/duck/Bangladesh/43127/2020,yes,-1.90,-0.04,0.28,0.48,1.90,1.86,2.18,2.39
A/duck/Bangladesh/51601/2021,yes,-2.31,-0.18,0.42,0.90,2.31,2.14,2.73,3.22
A/duck/France/150234/2015,yes,-0.94,0.61,1.05,1.47,0.94,1.55,1.99,2.41
A/duck/Guangdong/01/2001,yes,-1.78,0.35,0.64,1.27,1.78,2.13,2.42,3.05
A/duck/Hunan/795/2002,yes,-1.37,-0.01,0.80,1.39,1.37,1.36,2.17,2.76
A/duck/Hunan/S4101/2011,yes,-0.08,3.36,3.71,3.85,0.08,3.44,3.79,3.93
A/duck/Hyogo/1/2016,yes,-1.74,-0.07,0.27,0.35,1.74,1.67,2.01,2.08
A/duck/Laos/3295/2006,yes,-1.91,-0.73,-0.25,1.11,1.91,1.18,1.65,3.02
A/duck/Nanchang/9789/2013,yes,-2.30,-1.09,-2.30,-2.15,2.30,1.21,0.00,0.15
A/duck/Ningxia/YG71/2017,yes,-1.62,0.68,1.10,1.44,1.62,2.30,2.71,3.06
A/duck/Taiwan/DV30-2/2005,yes,-0.47,1.64,2.38,3.65,0.47,2.11,2.85,4.12
A/duck/Tegal/BBVW-1727-11/2012,yes,-2.08,-1.00,-1.87,-2.11,2.08,1.08,0.20,-0.03
A/duck/Tsukuba/394/2005,yes,-0.50,3.36,3.34,3.64,0.50,3.86,3.84,4.14
A/duck/Tsukuba/541/06,yes,-0.32,1.92,2.51,3.69,0.32,2.24,2.83,4.01
A/duck/Vietnam/NCVD-1584/2012,yes,-2.09,-1.13,-1.93,-2.17,2.09,0.96,0.15,-0.08
A/goose/Fujian/bb/2003,yes,-1.76,0.14,0.55,0.89,1.76,1.89,2.31,2.65
A/goose/Guangdong/72/2004,yes,-1.28,-0.23,0.21,1.57,1.28,1.04,1.48,2.85
A/goose/Guiyang/337/2006,yes,-2.12,-0.05,-0.30,1.42,2.12,2.07,1.82,3.54
A/gyrfalcon/Washington/410886/2014,yes,-1.92,-0.20,0.32,0.58,1.92,1.72,2.25,2.50
A/mute swan/Ibaraki/236T/2016,yes,-1.42,0.96,1.37,1.72,1.42,2.38,2.79,3.14
A/swine/Anhui/ca/2004,yes,-1.97,-0.27,0.17,0.75,1.97,1.71,2.14,2.73
A/turkey/Turkey/1/2005,yes,-1.56,-0.70,-1.08,0.19,1.56,0.85,0.47,1.75
A/whooper_swan/Mongolia/244/2005,yes,-1.71,-0.68,-1.05,0.27,1.71,1.03,0.66,1.98
