accession	has_titers	log10_293-noSA_over_293-SA23_titer	log10_293-noSA-human-MHCII-0301_over_293-SA23_titer	log10_293-noSA-human-MHCII-1503_over_293-SA23_titer	log10_293-noSA-tufted-duck-MHCII_over_293-SA23_titer	log10_293-SA23_over_293-noSA_titer	log10_293-noSA-human-MHCII-0301_over_293-noSA_titer	log10_293-noSA-human-MHCII-1503_over_293-noSA_titer	log10_293-noSA-tufted-duck-MHCII_over_293-noSA_titer
CY099579.1	yes	-1.9	-0.96	-1.69	-2.13	1.9	0.94	0.21	-0.23
KT220551.1	yes	-1.82	-0.97	-1.36	-1.01	1.82	0.85	0.46	0.8
KU971405.1	yes	-2.22	-1.25	-2.19	-2.43	2.22	0.97	0.04	-0.2
A_chicken_Ghana_AVL-763_21VIR7050-39_2021	yes	-2.1	-0.5	0.37	1.01	2.1	1.6	2.47	3.11
MT126478.1	yes	-2.21	-1.19	-1.33	0.48	2.21	1.02	0.88	2.69
GU454581.1	yes	-1.68	-0.91	-0.95	0.2	1.68	0.78	0.73	1.89
KM821633.1	yes	-1.9	-1.13	-1.98	-1.81	1.9	0.77	-0.08	0.09
MF112559.1	yes	-2.44	-1.03	-2.35	-2.33	2.44	1.4	0.09	0.11
OQ632895.1	yes	-2.47	-0.18	0.18	0.53	2.47	2.29	2.65	3.0
DQ914814.3	yes	-0.83	-0.47	0.15	2.89	0.83	0.36	0.98	3.73
EF541407.1	yes	-1.64	0.1	0.58	0.8	1.64	1.74	2.22	2.43
FJ842476.1	yes	-0.11	-0.22	-0.21	2.74	0.11	-0.12	-0.11	2.85
A_chicken_Vietnam_NCVD-03_2008	yes	-1.18	-0.43	-0.19	1.66	1.18	0.74	0.99	2.84
KY171725.1	yes	-1.8	0.56	0.68	0.81	1.8	2.36	2.49	2.61
A_chicken_Vietnam_Raho4-Cd-20-421_2020	yes	-2.42	-0.0	0.35	0.5	2.42	2.42	2.77	2.93
AB189061.1	yes	-1.32	0.78	1.27	1.62	1.32	2.1	2.59	2.94
PX441231.1	yes	-1.53	-0.79	-0.68	0.76	1.53	0.75	0.85	2.29
A_duck_Bangladesh_17D1012_2018	yes	-2.12	-1.05	-1.7	0.53	2.12	1.07	0.42	2.65
KF715205.1	yes	-2.14	-1.04	-1.89	0.75	2.14	1.1	0.25	2.89
MW466048.1	yes	-1.9	-0.04	0.28	0.48	1.9	1.86	2.18	2.39
OP030702.1	yes	-2.31	-0.18	0.42	0.9	2.31	2.14	2.73	3.22
A_duck_France_150234_2015	yes	-0.94	0.61	1.05	1.47	0.94	1.55	1.99	2.41
AY585360.1	yes	-1.78	0.35	0.64	1.27	1.78	2.13	2.42	3.05
CY146652.1	yes	-0.08	3.36	3.71	3.85	0.08	3.44	3.79	3.93
LC317070.1	yes	-1.74	-0.07	0.27	0.35	1.74	1.67	2.01	2.08
KP288324.1	yes	-2.3	-1.09	-2.3	-2.15	2.3	1.21	0.0	0.15
MH283037.1	yes	-1.62	0.68	1.1	1.44	1.62	2.3	2.71	3.06
CY110933.1	yes	-0.47	1.64	2.38	3.65	0.47	2.11	2.85	4.12
KC417274.1	yes	-2.08	-1.0	-1.87	-2.11	2.08	1.08	0.2	-0.03
AB558460.1	yes	-0.5	3.36	3.34	3.64	0.5	3.86	3.84	4.14
AB558470.1	yes	-0.32	1.92	2.51	3.69	0.32	2.24	2.83	4.01
KY171560.1	yes	-2.09	-1.13	-1.93	-2.17	2.09	0.96	0.15	-0.08
DQ997405.1	yes	-1.76	0.14	0.55	0.89	1.76	1.89	2.31	2.65
HM172089.1	yes	-1.28	-0.23	0.21	1.57	1.28	1.04	1.48	2.85
KP307984.1	yes	-1.92	-0.2	0.32	0.58	1.92	1.72	2.25	2.5
A_mute_swan_Ibaraki_236T_2016	yes	-1.42	0.96	1.37	1.72	1.42	2.38	2.79	3.14
DQ997392.1	yes	-1.97	-0.27	0.17	0.75	1.97	1.71	2.14	2.73
DQ407519.1	yes	-1.56	-0.7	-1.08	0.19	1.56	0.85	0.47	1.75
GU186700.1	yes	-1.71	-0.68	-1.05	0.27	1.71	1.03	0.66	1.98
